instruction,texts,labels
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @TamilEelam1  how much u ppl are unite every one knows lol just fighting among caste! Thats y pastor giving bag of rice for conversion!,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,நண்பர்களே திருப்பூரில் அதிகமாக இந்திக்காரர்கள் தான் நமக்கு அங்கு வேலை இல்லை உடனடியாக அரசு தலையிட்டு நடவடிக்கை எடுக்க வேண்டும்,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,நம்ம மேல எந்த தப்பும் இல்லை.... ஏன் என்றால் நாம தான் ஜாதி மதம் னு நம்மளோட பரம்பரைய      காப்பத்திட்டு இருக்கோம்.... அப்பறம் என் நாம           பயப்படனும்..... ஜாதி மதம் நு இருக்குற வரைக்கும் படை எடுத்து கொண்டு தான் இருப்பார்கள்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,வெட்டி நாய்களின் நாடக சண்டை. கட்சிகாரனுக போடுர நாடக சண்டை. ஆனால் கட்சிகாரனுக ஒற்றுமையா இருந்து மாக்கள கொள்ளையடிக்கிறது போல் எல்லா மதத்துகாரன்களும் கடவுள்கள் பெயரை சொல்லி ஒற்றுமையா வயிறு வளர்கிறானுக.,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,தம்பி முதல்ல தெளிவாக பேச கத்துக்க தம்பி அப்புறம் வந்து சேனலில் பேசு தம்பி,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,வெட்கக்கேடு! ஹிந்துக்கள் குறிப்பாக பிராமணர்கள் வரலாற்றில் இருந்து பாடம் கற்றுக் கொள்ள மறுக்கிறவர்கள்.,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,தமிழகத்தில் பிழைக்க வந்த  மார்வாடி  இந்திகாரன் ஆதிக்கம்  வளர விடாமல் இப்போது  நாம் விழித்துக் கொண்டால் தான் தமிழகத்தில்  தமிழர்கள்  நிம்மதியாக  வாழமுடியும்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"@TamilEelam1 ஜோக்கர், போய் உன் சுடலையை ஊம்பு 🤣🤣🤣
",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,நாங்கெல்லாம் ரவுடி அய்யர்ஸ் ஆக்கும்...,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,தமிழ்நாட்டில் பிறந்து வளர்ந்தவர்கள் சோம்பேறிகளாக இருக்கிறார்கள் திரைப்பட நடிகர்களுக்கு பால் அபிஷேகம் செய்யவாதும் மதுக்கடையில் நிற்பது இருந்தால் வடநாட்டிலிருந்து வராமல் இருப்பார்களா? தமிழ்நாட்டில் இளைஞர்கள் இன்னும் கொஞ்ச நாட்கள் தமிழ்நாட்டையே விற்று விடுவார்கள்...,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,விழித்துக் கொள்ளுங்கள் தமிழர்களே,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Avanunga varathunala namba oru naal veliya poga vendiyathu erukum !🥲,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Pallu literature written by whom during Nayak period,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,வடகலையோ U தென்கலையோ Y....எச்சிக்கல E பயல்கள் இவனுகளெல்லாம்,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Even Rajanikanth also was staying in the same way in Krishnan mess in that same area during 70s,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,உண்மையான சம்பளம் கிடைத்தால் வேலை செய்வர்கள் குறைந்த சம்பளம் கொடுப்பது  பாவ  செயல் கருப்பு பணம் முதலாளிகளுக்கு பாவம் வந்து சேரும்  7  ஏழு  தலைமுறைக்கும்....,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Excellent and fitting reply to this maarvari ayokya rascal.,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,உங்களுக்கு அவங்க இருந்தா ரொம்ப பிரச்சினையா இருக்கு நியூஸ் போடணும் அவங்க போறாங்கன்னு ஒரு நியூஸ் போடணும் அப்படித்தானே,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,தமிழ்நாட்டுக்காரன் வேறு நாட்டுக்கு போய் ஒரு அட்ரஸ் கேட்டா கூட சரியா சொல்ல மாட்டாங்க .நம்மை கேவலமாக பாப்பான்.ஆனால் தமிழ்நாட்டில் தான் அனைவரையும் ஆதரிக்கிறோம்,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @VigneshVignesh-vg6kh prostitute magane nee enna caste nu sollama ommala Inga vandhu un thevdiya puranam paadura kallar ah illa maravar ah adha sollu first prostitute son sollu my son.,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,enda sadhiyayum kurai sollamal anaivarudanum natpuravaga kollum agamudayarai cherndavargalil nanum oruvan,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"இவண் நடிகண்டா  பல ஆயிரம் ஆண்டு காலமாக  
தமழை காத்தவர் எந்கே 
நேட்று பிரந்வண்எநகே தமிழணை ஏமாற்ற இவண் பிரந்தாண லூசு பயண்",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,தமிழனுக்கு பிரச்சனை என்றால் எந்தநெம்பருக்கு அழைப்பது. அவர்களுக்கு இவ்வளவு பாதுகாப்புதர்ரீங்க ஏன் தமிழனுக்கு இல்லை ஓட்டுபோடமட்டும் நாங்கள் தேவை ??? தமிழ்மக்கள் உசார் சின்னத்தைபார்த்து ஓட்டலியுங்கள் ஆன ஒன்றுமட்டும் உறுதி வேலைதட்டு பாடுவந்தால் கொலை கொல்லை ஏன் இருமாநிலத்தவர்க்கும் சண்டைகூடவரலாம்,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"தமிழர்கள் முக்கியாம துலுக்கன்கள்கிட்டயும்
கிறிஸ்தவனுகிட்டனும் மிகுந்த எச்சரிக்கையாக இருக்க வேண்டும்....",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,வட மாநிலத்தனர்ரால் தமிழர்களுக்கு வேலை குறைவாக உள்ளது,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,என்னடா இது வடக்கன் போனா தமிழ்நாடு செயல்படாதா என்னடா உங்க என்னம்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,எதிர் காலத்தை நினைத்தால் வேதனையாக உள்ளது 😔,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"ஈழத்தில் நடந்தமாதிரி இங்கு அடித்தலும் திராவிடம் பின்னல் போறது மாத்த முடியாது 
தமிழன் வராமல் மாற்று இனத்தவன் தமிழனை ஆளலாம் 
அனைத்தையும் உடைத்தெறிந்து வெல்வோம்",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அப்படி செய்ய முடியாது. அவர்களுடன் வணிகம் செய்யாமல் இருந்தால் போதும். கொஞ்ச காலத்தில் அவர்களாகவே வெளியேறிவிடுவர்.,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"உடனடியா அவன் வீட்டுக்கு அத்தியாவசிய பொருட்கள் அனைத்தும் கிடைக்க விடாமல் தடுக்கனும்,அந்த ஊர் முழக்க இவன் போட்டோவ போட்டு இவன் கடைல யாரும் பொருள் வாங்க விடாமல் தடுக்கனும்",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @jokerboys1380   தமிழனுக்கு நாடு இருக்கா என்று தமிழ்நாட்டில் கேட்ட வந்தேறியை கதற விட்டதுதான்.,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Avanunga Holi ku poranungaa daa dei 😂,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"Enge antha gopi sudhakar , utube naainga ?????",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,தமிழ்நாடு மக்கள் அனைவரும் ஒன்றுகூடி சேர்ந்து செயல்பட்டால் மட்டுமே வடமாநிலத்தவர்கள் வெளியேற்ற முடியும் இல்லையெனில் நம் வாழ்வாதாரம் அழிய வாய்ப்பு இருக்கிறது,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,நம்ம ஊருல கொத்தனாரு 1000 சம்பலம் கேக்குறானுக இவங்க 500 தான்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @yogeshwaran2530   naa mumbai la dhaan irukkuren,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Inga erukka yella dev... boys  vadakkan vadakkan solli prachanaiya avanungala kelappi vidudanunga eppa kelampidanunga eni Anga erukka velaiya enga erukka dev... Payalunga poi papanunga muthal pottu tholil panravanukkutha vali theriyum antha pakuthi yella velaikku alkitaikkama alayaporanunga,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"Bro please pinned my comment...
Naan sourstra than bro but naanga ipo varala tamilnadu ku arasar atchi kalathula vanthom apo tamil makkal adaikalam kuduthanga ipo Inga irukura sourashtra eilarum tamilargal ahavae maritom...but neenga sonna martieras ipo irukura vadakans mathri sourashtra ila bro so please don't compare.. many different iruku ipo irukura vadakans Kum sourashtra Kum neenga sourashtra people irukura place la oru vlog pnuga...tamil makkal valura place ku pogura mathri than irukum...naanga irukura placeum suthama than irukum ipo varura vadakans mathri irukathu bro..😊",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Ponkada ponka enke thamilargal munnera vazhi vidungal,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Ithe mathiri problem nadantha veli oorla iruka thamilargaluku yar pathugappu tharathu🤦,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,S K நான் சொன்னது எந்த அரசாக இருந்தாலும் மக்கள அடக்க நினைக்கும் என்பது,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அவனுங்க அப்பாவி ஐயா tickets எடுக்க தெரியாத பச்சை குழந்தைகள் ஐயா 🤣🤣,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Bengaliகனளவிரட்டவேண்டும்தம்பி,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,திருடனா இல்லையா என்று காவல்துறை தானே முடிவு செய்ய வேண்டும். இவன் இப்படி கொன்றால் இவனுக்கும் சட்டம் மரணதண்டனை தானே கொடுக்க வேண்டும் ? ,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @vetrivel-   poda 🌸unda eathu na Solla vendiya kadamai 😂😂,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,pagathula karnataka va pathu kathukonga .. etho oru nalla vishaiyam nadaku .keduthurathika  .vadakanala palla mills la pengal pathika paduranga .atha sari seikada mutha..en valnala thathi seithiya eni avoite pannren,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அவர் சொன்னதுல என்ன தப்பிருக்கு இது திரவிட நாடு தானே,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,காட்டுமிராண்டி கூட்டம். தெய்வத்தை வணக்க தகுதியற்ற இவனுங்கதான் உயர்ந்தசாதியா?..,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.," @praveenraj171  did I say that Seeman asked north indians to be beaten up. don't assume things that I have not stated. all that I said is to hold your elected representatives accountable instead of beating up helpless people like a rowdy. By the way, Seeman is instilling fear and insecurity that these migrant workers will destroy Tamil, and that's why idiotic emotional fool Thambis are getting charged up and ready to attack north indians. while seeman may not have explicitly stated anything, he's the root cause.",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion., @relover9968  neiveli (cuddalore ) poi Kellu da sombadiya mavane 😅😅,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,தமிழனை  எப்படி  ஏமாற்றுவது   என்பது  அவனுக்கு  நன்றாக  தெரியும்,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.," @TheTopDawg97  ne motha entha state ethana peru da irrupinga tamil nadu la olunga train ticket kooda etukama reserve vanthu eri Praganant lady saaga poi, neraya lady bathroom poga mudiyala un vertu lady ku ipdi nadantha ne nalla santhosa pattu siripiya bro nee",0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,This happened in Srilanka first The whole island belongs to Tamils(NAGAS) then Vaddakans from Vanga(West Bengal) came and married Pandyan women and became the majority ethnic group known as the sinhalese.,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,ஏம்மா இப்படி ஒலர்ர,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"முட்டாப்புண்ட ஆதி திராவிடர்னா என்ன மயித்துக்குடா அசிங்கம்னு சொல்ற,உன் பேருக்கு பின்னாடி உள்ள சாதி என்ற மலம் தான் அசிங்கம்டா",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Love all serve all start the day with love  spend the day with love end the day with love we are all indian we go anywhere anytime any  place with out south North East West we can t live in the world,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,"E Inda masuru interview ,,tamilana tamilan than da nasam pannura",1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,அடுத்து விஜய் 67 அப்டேட் வருது ரசிக கோமாளிகள் கண்டுக்க மாட்டார்கள்,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,muthalil m.k.istalinai wada manilathukku viratiyadika veentum  sanghi istalin kaavi istalin BJP.  B  teem  istalin🚩🐒,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Ipdiyea North Indians velaiku vechi kurai tha sambalamnu avanungala veikiringa nalaiki namba Natta vitea thorathiduvanunga olunga avanga urunkku anupura velai parunga ithu oru maraimugamana (Implicit )Arasiyal ellorum mulichikonga please da youngsters open your eyes don't go away actors and useless entertainment ulla over ah Vara aarbiththu vittargal Inga irukura businessman salary kamiya irukunu avangala work ku vaikathinga namba ooru  aatgalai velaiku vainga Intha problem solve seivathu namba Atchiyalaigal kailthan iruku ithayavathu seinga namba Nattu makkaluku,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,மார்வாடிநுழைந்து எல்லாதொழில்களையும் நாசமாக்கி விட்டார்கள். அவர்கள் நுழைந்தஎந்த தொழில்களும் உருப்பட்டதாகதெரியவில்லை.,1
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,Bore Wells ku 5 Peru vadakan 1 man driver of Tamilan🔥🔥🔥✨️,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,திராவிடம் தடுத்து நிறுத்தியதா பெரியார் தடுத்து நிறுத்தினாரா ,0
Classify the given comment that can be in codemixed or codeswitched or romanized or mix of before there which is in Tamil language into 1 which is Hate Speech on Caste or Migrantion or 0 which is Not-Hate Speech on Caste or Migrantion.,ஹோலி கொண்டாட போயிட்டு முடிஞ்ச உடனே வந்துருவாங்க அதை போயிட்டு அரசியல் ஆக்கிட்டீங்க,0
